ID,Dein Artist Name,Stage,Playtime,day,start_time,end_time
3033,Steppo,Neustockland,"Saturday, 15.08.2026, 14:00 - 16:00",Saturday,14:00,16:00
3035,ELIF,Atlantis,"Friday, 14.08.2026, 19:30 - 21:30",Friday,19:30,21:30
3037,Alexskyspirit,Waldtraut,"Friday night to Saturday morning, 14.08/15.08, 01:30 - 03:30",Friday,01:30,03:30
3039,Bayawaka vs Golanski,Waldtraut,"Saturday, 15.08.2026, 15:00 - 18:00",Saturday,15:00,18:00
3041,Vittjas Tief,Waldtraut,"Friday night to Saturday morning, 14.08/15.08, 03:30 - 06:30",Friday,03:30,06:30
3043,SACID,Stroboklo,"Sunday night to Monday morning, 16.08/17.08, 22:30 - 01:00",Sunday,22:30,01:00
3045,Victor Danta,Schweißperle,"Saturday night to Sunday morning, 15.08/16.08, 23:30 - 01:00",Saturday,23:30,01:00
3047,Solar Kid,Waldtraut,"Sunday, 16.08.2026, 12:00 - 14:00",Sunday,12:00,14:00
3049,Tenvin,Atlantis,"Saturday, 15.08.2026, 15:00 - 17:00",Saturday,15:00,17:00
3051,Harry Nipples,Mirage,"Thursday, 13.08.2026, 20:00 - 22:00",Thursday,20:00,22:00
3055,InDeLa,Schweißperle,"Sunday, 16.08.2026, 20:00 - 21:30",Sunday,20:00,21:30
3057,TECHNOCALOR,Schweißperle,"Sunday, 16.08.2026, 21:30 - 23:00",Sunday,21:30,23:00
3059,Rhabia,Waldtraut,"Sunday, 16.08.2026, 10:00 - 12:00",Sunday,10:00,12:00
3061,DAS MAER,Neustockland,"Friday, 14.08.2026, 20:00 - 21:00",Friday,20:00,21:00
3063,ciao 3lla,Atlantis,"Friday, 14.08.2026, 16:00 - 18:00",Friday,16:00,18:00
3065,Sutsche,Unterholz,"Sunday 17.08, 10:00 - 12:30",Sunday,10:00,12:30
3067,The Vulvaa Power Show,Mirage,"Saturday, 15.08.2026, 15:00 - 17:00",Saturday,15:00,17:00
3071,LENI,Mirage,"Sunday night to Monday morning, 16.08/17.08, 04:00 - 06:30",Sunday,04:00,06:30
3075,Holly North,Atlantis,"Friday, 14.08.2026, 18:00 - 19:30",Friday,18:00,19:30
3079,Florian Msk,Waldtraut,"Friday night to Saturday morning, 14.08/15.08, 00:00 - 01:30",Friday,00:00,01:30
3083,UREM,Atlantis,"Friday night to Saturday morning, 14.08/15.08, 05:00 - 07:00",Friday,05:00,07:00
3085,Juli Lee,Mirage,"Thursday, 13.08.2026, 19:00 - 21:00",Thursday,19:00,21:00
3087,Satori,Atlantis,"Sunday, 16.08.2026, 20:30 - 22:00",Sunday,20:30,22:00
3089,Baerbel,Porto Loco,"Saturday, 15.08.2026, 17:30 - 19:30",Saturday,17:30,19:30
3091,Britta Arnold,Porto Loco,"Friday, 14.08.2026, 17:30 - 19:30",Friday,17:30,19:30
3093,Pilar Jordan,Schlupfloch,"Friday, 14.08.2026, 18:00 - 20:00",Friday,18:00,20:00
3105,bīsubisou,Schlupfloch,"Saturday night to Sunday morning, 15.08/16.08, 04:00 - 06:00",Saturday,04:00,06:00
3107,Len Faki,Porto Loco,"Friday night to Saturday morning, 14.08/15.08, 23:30 - 02:00",Friday,23:30,02:00
3109,Slaymira,Neustockland,"Saturday, 15.08.2026, 14:00 - 16:00",Saturday,14:00,16:00
3111,DJ RED,Porto Loco,"Friday night to Saturday morning, 14.08/15.08, 03:00 - 05:00",Friday,03:00,05:00
3113,Roman Flügel,Porto Loco,"Friday, 14.08.2026, 19:30 - 21:30",Friday,19:30,21:30
3115,FINCA AMOUR,Atlantis,"Sunday, 16.08.2026, 18:30 - 20:30",Sunday,18:30,20:30
3117,Mira,Mirage,"Thursday night to Friday morning, 13.08/14.08, 21:00 - 00:00",Thursday,21:00,00:00
3119,Cassy,Schlupfloch,"Saturday night to Sunday morning, 15.08/16.08, 00:00 - 02:00",Saturday,00:00,02:00
3121,SENU,Schlupfloch,"Saturday, 15.08.2026, 20:00 - 22:00",Saturday,20:00,22:00
3135,Amaliah,Schlupfloch,"Saturday night to Sunday morning, 15.08/16.08, 22:00 - 00:00",Saturday,22:00,00:00
3153,Chris Schwarzwälder,Unterholz,"Friday, 14.08.2026, 16:00 - 18:30",Friday,16:00,18:30
3155,Laaar,Unterholz,"Saturday, 15.08.2026, 11:00 - 12:30",Saturday,11:00,12:30
3159,K.EULE,Stroboklo,"Saturday night to Sunday morning, 15.08/16.08, 02:00 - 04:00",Saturday,02:00,04:00
3161,iorie,Unterholz,"Saturday, 15.08.2026, 16:30 - 18:00",Saturday,16:30,18:00
3163,FELGENTEUFEL,Stroboklo,"Sunday night to Monday morning, 16.08/17.08, 01:00 - 03:30",Sunday,01:00,03:30
3167,HOVR,Schweißperle,"Friday, 14.08.2026, 17:00 - 19:00",Friday,17:00,19:00
3171,Überhaupt & Außerdem,Unterholz,"Sunday night to Monday morning, 16.08/17.08, 23:00 - 00:00",Sunday,23:00,00:00
3173,Blame the Booker,Stroboklo,"Sunday night to Monday morning, 16.08/17.08, 03:30 - 06:00",Sunday,03:30,06:00
3175,Mila Stern,Porto Loco,"Saturday night to Sunday morning, 15.08/16.08, 02:30 - 04:30",Saturday,02:30,04:30
3179,Zombies In Miami,Schlupfloch,"Friday, 14.08.2026, 22:00 - 23:30",Friday,22:00,23:30
3181,Kaufmann,Porto Loco,"Saturday night to Sunday morning, 15.08/16.08, 04:30 - 07:00",Saturday,04:30,07:00
3183,jungspund,Unterholz,"Saturday, 15.08.2026, 14:30 - 16:30",Saturday,14:30,16:30
3185,Cris Kai,Schweißperle,"Sunday night to Monday morning, 16.08/17.08, 23:00 - 01:00",Sunday,23:00,01:00
3217,Cøral Negrø,Stroboklo,"Friday night to Saturday morning, 14.08/15.08, 04:00 - 06:00",Friday,04:00,06:00
3223,Pilocka Krach,Porto Loco,"Friday, 14.08.2026, 13:00 - 15:30",Friday,13:00,15:30
3227,Courtesy,Schlupfloch,"Friday night to Saturday morning, 14.08/15.08, 23:30 - 01:30",Friday,23:30,01:30
3229,Brigade,Schweißperle,"Friday, 14.08.2026, 19:00 - 21:00",Friday,19:00,21:00
3231,Katschinka,Unterholz,"Sunday, 16.08.2026, 13:30 - 15:30",Sunday,13:30,15:30
3233,R3NATA,Unterholz,"Friday, 14.08.2026, 20:30 - 22:30",Friday,20:30,22:30
3235,CHOMBA,Unterholz,"Saturday, 15.08.2026, 09:00 - 11:00",Saturday,09:00,11:00
3237,😜(Unauffinbar),Neustockland,"Saturday, 15.08.2026, 17:30 - 19:30",Saturday,17:30,19:30
3239,Wolle XDP,Stroboklo,"Friday night to Saturday morning, 14.08/15.08, 00:00 - 02:00",Friday,00:00,02:00
3241,ÉLAA,Unterholz,"Saturday, 15.08.2026, 12:30 - 14:30",Saturday,12:30,14:30
3243,Hanna Baertig,Stroboklo,"Sunday, 16.08.2026, 18:00 - 20:00",Sunday,18:00,20:00
3245,Christian Löffler,Atlantis,"Sunday, 16.08.2026, 15:00 - 16:30",Sunday,15:00,16:30
3247,KLAUDIA,Unterholz,"Friday night to Saturday morning, 14.08/15.08, 02:00 - 04:00",Friday,30.12.1899,30.12.1899
3249,mari.ama,Schweißperle,,,,
3277,Haensen&Gretel,Atlantis,"Sunday, 16.08.2026, 12:00 - 15:00",Sunday,12:00,15:00
3281,Faul & Spaeth,Unterholz,"Saturday, 15.08.2026, 20:00 - 21:00",Saturday,20:00,21:00
3283,Mamoré,Strandflitzer,"Sunday, 16.08.2026, 21:00 - 22:00",Sunday,21:00,22:00
3287,Kuestenklatsch,Neustockland,"Sunday, 16.08.2026, 15:30 - 18:00",Sunday,15:30,18:00
3289,massin attack,Zirkus Mond,"Thursday, 13.08.2026, 16:30 - 18:30",Thursday,16:30,18:30
3291,Johannes Albert,Strandflitzer,"Thursday night to Friday morning, 13.08/14.08, 01:00 - 03:00",Thursday,01:00,03:00
3293,Carlo Bonanza,Strandflitzer,"Thursday night to Friday morning, 13.08/14.08, 23:00 - 01:00",Thursday,23:00,01:00
3295,Lueking,Zirkus Mond,"Sunday, 16.08.2026, 16:00 - 19:30",Sunday,16:00,19:30
3297,Hanna Baertig,Stroboklo,"Sunday, 16.08.2026, 18:00 - 20:00",Sunday,18:00,20:00
3299,pixxi,Neustockland,"Saturday, 15.08.2026, 20:00 - 20:30",Saturday,20:00,20:30
3301,Slurm McKenzie,Neustockland,"Sunday night to Monday morning, 16.08/17.08, 01:30 - 03:30",Sunday,01:30,03:30
3303,musikalienparade,Schweißperle,"Saturday, 15.08.2026, 19:30 - 21:30",Saturday,19:30,21:30
3305,Franziska Frizzante,Strandflitzer,"Saturday, 15.08.2026, 20:00 - 22:00",Saturday,20:00,22:00
3307,kluntje,Strandflitzer,"Saturday night to Sunday morning, 15.08/16.08, 00:00 - 02:00",Saturday,00:00,02:00
3309,G4F4RØU & Zelyna je Belle,Stroboklo,"Saturday night to Sunday morning, 15.08/16.08, 04:00 - 06:00",Saturday,04:00,06:00
